Type,Image,Pixel,Time
bottle,0.996031746031746,0.9813795997003166,0.0149999999994179
cable,0.8549475262368816,0.9493361581615658,0.0
capsule,0.8695652173913044,0.9818918153194572,0.0160000000032596
carpet,0.9835473515248796,0.9878966521000327,0.0
grid,0.898078529657477,0.9359577197324016,0.0160000000032596
hazelnut,0.8410714285714286,0.9791347758289528,0.0
leather,0.9881114130434784,0.9902948157312392,0.0160000000032596
metal_nut,0.9736070381231672,0.966994431152726,0.0
pill,0.8687943262411347,0.9455214117019394,0.0
screw,0.7446197991391679,0.9724293784280454,0.0
tile,0.9592352092352092,0.9167496713663564,0.0
toothbrush,0.9472222222222222,0.9860279220849366,0.0
transistor,0.925,0.967832190835724,0.0
wood,0.9903508771929824,0.9402878065188568,0.0149999999994179
zipper,0.7408088235294118,0.9758141545529944,0.0
Average,0.9053994338760328,0.9651699002143695,0.0052000000005743
