Type,Image,Pixel,Time
bottle,1.0,0.980917832196814,0.0309999999881256
cable,0.9396551724137931,0.976353934496468,0.0159999999887077
capsule,0.916633426406063,0.98693030144587,0.0470000000059371
carpet,0.9995987158908508,0.9882304980556412,0.0310000000026775
grid,0.9699248120300752,0.9743569409088474,0.0310000000026775
hazelnut,0.97,0.9842389621345184,0.0159999999887077
leather,1.0,0.9911237988853066,0.0309999999881256
metal_nut,0.9990224828934506,0.9795224012171256,0.0160000000032596
pill,0.9350791052918712,0.9698624325325296,0.0309999999881256
screw,0.878048780487805,0.984509098814458,0.0160000000032596
tile,0.9884559884559884,0.9501385000617298,0.0310000000026775
toothbrush,0.9527777777777778,0.9881732527982002,0.0310000000026775
transistor,0.9825,0.9802123228970198,0.0320000000065192
wood,0.9842105263157896,0.944592696639724,0.0159999999887077
zipper,0.8834033613445378,0.981633162639568,0.0149999999994179
Average,0.9599540099538668,0.9773864090482546,0.0260666666639735
