Type,Image,Pixel,Time
bottle,0.996031746031746,0.9834277326731352,0.0159999999887077
cable,0.7029610194902548,0.8783107305354336,0.0160000000032596
capsule,0.8392500997207819,0.9780432481090456,0.0149999999994179
carpet,0.9959871589085072,0.9836472494054446,0.0310000000026775
grid,0.8471177944862156,0.9335964997186778,0.0160000000032596
hazelnut,0.7014285714285715,0.9679146630665167,0.0160000000032596
leather,0.9989809782608696,0.9945540049027832,0.0149999999994179
metal_nut,0.8577712609970675,0.8951866845007673,0.0149999999994179
pill,0.7476813966175668,0.9299178180892838,0.0149999999994179
screw,0.5609756097560975,0.9612610499051536,0.0160000000032596
tile,0.9870129870129868,0.9573358923290354,0.0149999999994179
toothbrush,1.0,0.990112598487596,0.0160000000032596
transistor,0.8904166666666667,0.8994770263899594,0.0160000000032596
wood,0.9921052631578948,0.9619058832531996,0.0159999999887077
zipper,0.8658088235294118,0.9762477212965972,0.0149999999994179
Average,0.8655686250709759,0.952729253510842,0.0165999999997438
