Type,Image,Pixel,Time
bottle,0.9992063492063492,0.9799908069331306,0.0149999999994179
cable,0.8320839580209894,0.9483907159061452,0.0
capsule,0.8990825688073394,0.9848927420426364,0.0159999999887077
carpet,1.0,0.986828948490428,0.0
grid,0.939014202172097,0.947603613942882,0.0
hazelnut,0.852857142857143,0.9794831630905572,0.0149999999994179
leather,0.9976222826086956,0.9894581684023604,0.0159999999887077
metal_nut,0.9819159335288368,0.969250019150556,0.0159999999887077
pill,0.9037097654118932,0.9566511684783644,0.0
screw,0.6907153105144498,0.9699765873159044,0.0149999999994179
tile,0.9888167388167388,0.9525014851697432,0.0
toothbrush,0.9833333333333332,0.9863307375558752,0.0
transistor,0.9791666666666666,0.973442689562062,0.0160000000032596
wood,0.987719298245614,0.9425834743223884,0.0149999999994179
zipper,0.8610819327731092,0.9781174898992524,0.0
Average,0.926421698864217,0.9697001206841522,0.0082666666644702
