Type,Image,Pixel,Time
bottle,0.9992063492063492,0.9776120449774388,0.0159999999887077
cable,0.9548350824587706,0.971116374380444,0.0310000000026775
capsule,0.9094535301156762,0.9856596780769068,0.0470000000059371
carpet,0.9935794542536116,0.9880887948537288,0.0310000000026775
grid,0.974937343358396,0.9649118881046924,0.0310000000026775
hazelnut,0.9857142857142858,0.981888301720616,0.0160000000032596
leather,1.0,0.986778606241093,0.0160000000032596
metal_nut,1.0,0.9669005663235972,0.0310000000026775
pill,0.9072558647026732,0.9552658875704994,0.0310000000026775
screw,0.8149210903873745,0.9840280810272266,0.0160000000032596
tile,0.9873737373737372,0.9388335074116748,0.0310000000026775
toothbrush,0.9861111111111112,0.98722664637062,0.0149999999994179
transistor,0.9779166666666668,0.9765250758394216,0.0160000000032596
wood,0.9903508771929824,0.9420607253367462,0.0310000000026775
zipper,0.933560924369748,0.9835733676550732,0.0160000000032596
Average,0.9610144211274256,0.9726979697259852,0.0250000000019402
