Type,Image,Pixel,Time
bottle,1.0,0.9814221587641604,0.0
cable,0.8199025487256372,0.9437390797545708,0.0160000000032596
capsule,0.9062624650977265,0.9830948734735622,0.0159999999887077
carpet,0.989967897271268,0.9880242282295788,0.0160000000032596
grid,0.9598997493734336,0.972050405297312,0.0160000000032596
hazelnut,0.8453571428571428,0.9736551634380968,0.0
leather,1.0,0.9915606455743542,0.0160000000032596
metal_nut,0.9672531769305964,0.9614056882805048,0.0160000000032596
pill,0.9053464266230224,0.9552943159409284,0.0160000000032596
screw,0.7204345152695224,0.9737733706307232,0.0160000000032596
tile,0.9971139971139972,0.9499689083454904,0.0160000000032596
toothbrush,0.975,0.9861915134275604,0.0160000000032596
transistor,0.9895833333333334,0.9758541545282258,0.0
wood,0.9947368421052633,0.9473670061536432,0.0160000000032596
zipper,0.877888655462185,0.9768581418493352,0.0149999999994179
Average,0.9299164500108752,0.9706839769125364,0.0127333333347147
