Type,Image,Pixel,Time
bottle,0.9992063492063492,0.9806010231037484,0.0160000000032596
cable,0.8420164917541229,0.960016979676334,0.0149999999994179
capsule,0.8974870362983647,0.9836624847697978,0.0319999999919673
carpet,0.985553772070626,0.9877387020813712,0.0159999999887077
grid,0.9415204678362572,0.9470291001741528,0.0160000000032596
hazelnut,0.9392857142857144,0.981759441331805,0.0
leather,1.0,0.989418446019469,0.0159999999887077
metal_nut,0.9770283479960898,0.971824071289358,0.0
pill,0.8906164757228587,0.9495596980299864,0.0149999999994179
screw,0.823529411764706,0.9804811833143684,0.0160000000032596
tile,0.9545454545454546,0.9392310948535906,0.0149999999994179
toothbrush,0.9916666666666666,0.9877530282524636,0.0159999999887077
transistor,0.9754166666666668,0.970443344308382,0.0149999999994179
wood,0.9912280701754386,0.9495057890935344,0.0159999999887077
zipper,0.866859243697479,0.9829908212767888,0.0149999999994179
Average,0.9383973445791196,0.9708010138383434,0.0145999999969111
