Type,Image,Pixel,Time
bottle,0.9634920634920636,0.9750536070827764,0.0160000000032596
cable,0.7723013493253373,0.6863781023287386,0.0310000000026775
capsule,0.83047467092142,0.9678960159629404,0.0310000000026775
carpet,0.8868378812199037,0.9405346228344128,0.0160000000032596
grid,0.8579782790309106,0.873370927449195,0.0310000000026775
hazelnut,0.8332142857142857,0.9602577495653032,0.0319999999919673
leather,0.9928668478260868,0.9799873984569144,0.0310000000026775
metal_nut,0.8866080156402737,0.9109030247467672,0.0160000000032596
pill,0.7689579923622477,0.8511178906478774,0.0149999999994179
screw,0.5642549702807952,0.9527140883794412,0.0159999999887077
tile,0.7878787878787878,0.6882463291787139,0.0309999999881256
toothbrush,0.9916666666666666,0.9846725749235852,0.0310000000026775
transistor,0.765,0.9086846959642828,0.0160000000032596
wood,0.9350877192982456,0.8684632339817321,0.0310000000026775
zipper,0.7216386554621849,0.961089480323731,0.0319999999919673
Average,0.8372172123412807,0.9006246494550941,0.0250666666659526
