Type,Image,Pixel,Time
bottle,0.996031746031746,0.9853360896146928,0.0160000000032596
cable,0.7668665667166417,0.9370106134733522,0.0160000000032596
capsule,0.8424411647387315,0.978502100881499,0.0160000000032596
carpet,0.9987961476725522,0.9880072744244416,0.0159999999887077
grid,0.9398496240601504,0.9561847666547472,0.0160000000032596
hazelnut,0.6842857142857143,0.9672527448678664,0.0149999999994179
leather,0.9993206521739132,0.9954209427857262,0.0149999999994179
metal_nut,0.904692082111437,0.9424555148113508,0.0149999999994179
pill,0.795962902345881,0.9379677965902472,0.0159999999887077
screw,0.6046320967411355,0.963127594422348,0.0159999999887077
tile,0.9787157287157288,0.9628627809144223,0.0160000000032596
toothbrush,1.0,0.9890917602163958,0.0149999999994179
transistor,0.895,0.924166669713656,0.0149999999994179
wood,0.9973684210526316,0.969985830390138,0.0159999999887077
zipper,0.9222689075630252,0.979218177360165,0.0149999999994179
Average,0.888415450280619,0.96510604380807,0.0155999999978424
