Type,Image,Pixel,Time
bottle,1.0,0.982699422780453,0.3120000000053551
cable,0.8699400299850075,0.9502808684116164,0.3439999999973224
capsule,0.9258077383326686,0.9873323020151163,0.0310000000026775
carpet,1.0,0.985746589741385,0.0149999999994179
grid,0.9582289055973268,0.97754442665032,0.0310000000026775
hazelnut,0.985,0.98686675246053,0.0149999999994179
leather,0.9996603260869564,0.9874481891280628,0.4220000000059372
metal_nut,0.97702834799609,0.9750569940873756,0.0149999999994179
pill,0.915166393889798,0.960893023719694,0.0149999999994179
screw,0.8557081369133018,0.9832925663549568,0.0160000000032596
tile,0.9772727272727272,0.955341803552476,0.0149999999994179
toothbrush,1.0,0.9901134131325662,0.0149999999994179
transistor,0.9908333333333332,0.9671953124280528,0.0310000000026775
wood,0.9947368421052633,0.9388962235768288,0.0159999999887077
zipper,0.9104516806722688,0.9870242272302724,0.0149999999994179
Average,0.9573222974789828,0.9743821410179804,0.0872000000003026
