Type,Image,Pixel,Time
bottle,1.0,0.98272855364355,0.0160000000032596
cable,0.8302098950524738,0.9528514839451572,0.0149999999994179
capsule,0.9337854008775428,0.9891353440317554,0.0310000000026775
carpet,0.9971910112359552,0.9867637287059232,0.0160000000032596
grid,0.9181286549707602,0.9666786259991672,0.0160000000032596
hazelnut,0.9807142857142856,0.9823095933957746,0.0160000000032596
leather,1.0,0.9910497000356592,0.0320000000065192
metal_nut,0.9887585532746824,0.9668019914921498,0.0149999999994179
pill,0.9356246590289145,0.9680680875895032,0.0160000000032596
screw,0.7679852428776388,0.9825517431876548,0.0160000000032596
tile,0.9848484848484848,0.9421929468642716,0.0
toothbrush,0.9555555555555556,0.9893881734543056,0.0160000000032596
transistor,0.9725,0.9642628190347486,0.0160000000032596
wood,0.9859649122807016,0.9402925351038816,0.0149999999994179
zipper,0.9220063025210083,0.978421406248192,0.0159999999887077
Average,0.9448848638825336,0.972233115515446,0.0168000000014823
